observation_id,species,region,latitude,longitude,risk_score,observation_date
OBS-00375,fish,Atlantic,48.18,-81.24000000000001,0.288,2021-01-10
OBS-00376,salamander,Great Lakes,42.42,-90.96,0.014,2021-01-11
OBS-00377,frog,Pacific Coast,49.8,-92.76,0.488,2021-01-12
OBS-00378,bird,Prairie,41.76,-97.32,0.44,2021-01-13
OBS-00379,fish,Atlantic,40.7,-89.56,0.702,2021-01-14
OBS-00380,salamander,Great Lakes,46.08,-92.92,0.066,2021-01-15
OBS-00381,frog,Pacific Coast,49.34,-94.64,0.844,2021-01-16
OBS-00382,bird,Prairie,41.38,-93.36,0.13,2021-01-17
OBS-00383,fish,Atlantic,41.92,-80.72,0.536,2021-01-18
OBS-00384,salamander,Great Lakes,43.76,-83.8,0.956,2021-01-19
OBS-00385,frog,Pacific Coast,48.519999999999996,-96.24,0.4,2021-01-20
OBS-00386,bird,Prairie,46.3,-87.8,0.62,2021-01-21
OBS-00387,fish,Atlantic,47.480000000000004,-96.88,0.194,2021-01-22
OBS-00388,salamander,Great Lakes,42.62,-90.2,0.448,2021-01-23
OBS-00389,frog,Pacific Coast,47.36,-91.32,0.798,2021-01-24
OBS-00390,bird,Prairie,43.96,-80.88,0.946,2021-01-25
OBS-00391,fish,Atlantic,43.78,-83.24000000000001,0.9,2021-01-26
OBS-00392,salamander,Great Lakes,48.94,-82.96000000000001,0.502,2021-01-27
OBS-00393,frog,Pacific Coast,40.56,-93.88,0.882,2021-01-28
OBS-00394,bird,Prairie,48.92,-91.03999999999999,0.84,2021-01-29
OBS-00395,fish,Atlantic,49.04,-80.2,0.358,2021-01-30
OBS-00396,salamander,Great Lakes,45.5,-94.44,0.664,2021-01-31
OBS-00397,frog,Pacific Coast,42.32,-87.76,0.804,2021-02-01
OBS-00398,bird,Prairie,41.0,-97.64,0.678,2021-02-02
OBS-00399,fish,Atlantic,46.22,-95.4,0.04,2021-02-03
OBS-00400,salamander,Great Lakes,49.86,-97.16,0.944,2021-02-04
OBS-00401,frog,Pacific Coast,46.34,-84.88,0.808,2021-02-05
OBS-00402,bird,Prairie,44.12,-97.0,0.57,2021-02-06
OBS-00403,fish,Atlantic,40.2,-90.92,0.1,2021-02-07
OBS-00404,salamander,Great Lakes,41.98,-89.52,0.978,2021-02-08
OBS-00405,frog,Pacific Coast,48.28,-96.72,0.872,2021-02-09
OBS-00406,bird,Prairie,43.54,-95.92,0.626,2021-02-10
OBS-00407,fish,Atlantic,41.88,-97.4,0.818,2021-02-11
OBS-00408,salamander,Great Lakes,41.06,-97.44,0.006,2021-02-12
OBS-00409,frog,Pacific Coast,48.84,-94.08,0.748,2021-02-13
OBS-00410,bird,Prairie,47.519999999999996,-83.68,0.898,2021-02-14
OBS-00411,fish,Atlantic,43.84,-92.8,0.23,2021-02-15
OBS-00412,salamander,Great Lakes,40.52,-96.6,0.582,2021-02-16
OBS-00413,frog,Pacific Coast,43.44,-96.76,0.83,2021-02-17
OBS-00414,bird,Prairie,43.32,-99.04,0.416,2021-02-18
OBS-00415,fish,Atlantic,47.14,-83.56,0.392,2021-02-19
OBS-00416,salamander,Great Lakes,44.52,-99.92,0.008,2021-02-20
OBS-00417,frog,Pacific Coast,49.519999999999996,-87.72,0.55,2021-02-21
OBS-00418,bird,Prairie,42.5,-99.32,0.024,2021-02-22
OBS-00419,fish,Atlantic,48.34,-88.12,0.212,2021-02-23
OBS-00420,salamander,Great Lakes,44.96,-89.28,0.298,2021-02-24
OBS-00421,frog,Pacific Coast,44.78,-90.36,0.22,2021-02-25
OBS-00422,bird,Prairie,46.6,-80.12,0.796,2021-02-26
OBS-00423,fish,Atlantic,46.64,-84.96000000000001,0.424,2021-02-27
OBS-00424,salamander,Great Lakes,40.32,-92.6,0.468,2021-02-28
OBS-00425,frog,Pacific Coast,48.36,-96.56,0.03,2021-03-01
OBS-00426,bird,Prairie,49.36,-93.12,0.256,2021-03-02
OBS-00427,fish,Atlantic,44.88,-81.03999999999999,0.692,2021-03-03
OBS-00428,salamander,Great Lakes,46.54,-89.32,0.656,2021-03-04
OBS-00429,frog,Pacific Coast,49.22,-88.32,0.474,2021-03-05
OBS-00430,bird,Prairie,42.9,-94.36,0.48,2021-03-06
OBS-00431,fish,Atlantic,41.58,-88.4,0.146,2021-03-07
OBS-00432,salamander,Great Lakes,47.76,-89.6,0.05,2021-03-08
OBS-00433,frog,Pacific Coast,48.64,-87.44,0.142,2021-03-09
OBS-00434,bird,Prairie,48.480000000000004,-87.88,0.228,2021-03-10
OBS-00435,fish,Atlantic,42.64,-88.2,0.396,2021-03-11
OBS-00436,salamander,Great Lakes,47.96,-98.48,0.026,2021-03-12
OBS-00437,frog,Pacific Coast,42.3,-83.88,0.908,2021-03-13
OBS-00438,bird,Prairie,49.94,-99.76,0.942,2021-03-14
OBS-00439,fish,Atlantic,45.36,-91.92,0.46,2021-03-15
OBS-00440,salamander,Great Lakes,43.7,-97.92,0.596,2021-03-16
OBS-00441,frog,Pacific Coast,46.04,-92.32,0.8,2021-03-17
OBS-00442,bird,Prairie,43.1,-85.36,0.722,2021-03-18
OBS-00443,fish,Atlantic,43.74,-92.84,0.386,2021-03-19
OBS-00444,salamander,Great Lakes,40.44,-99.12,0.324,2021-03-20
OBS-00445,frog,Pacific Coast,49.72,-97.04,0.202,2021-03-21
OBS-00446,bird,Prairie,40.28,-96.04,0.456,2021-03-22
OBS-00447,fish,Atlantic,49.16,-93.96,0.652,2021-03-23
OBS-00448,salamander,Great Lakes,49.5,-81.2,0.916,2021-03-24
OBS-00449,frog,Pacific Coast,43.519999999999996,-97.12,0.044,2021-03-25
OBS-00450,bird,Prairie,41.82,-94.0,0.508,2021-03-26
OBS-00451,fish,Atlantic,45.620000000000005,-94.76,0.98,2021-03-27
OBS-00452,salamander,Great Lakes,45.04,-93.84,0.68,2021-03-28
OBS-00453,frog,Pacific Coast,47.980000000000004,-90.28,0.746,2021-03-29
OBS-00454,bird,Prairie,42.86,-86.56,0.284,2021-03-30
OBS-00455,fish,Atlantic,47.16,-92.96000000000001,0.27,2021-03-31
OBS-00456,salamander,Great Lakes,48.22,-95.24,0.346,2021-04-01
OBS-00457,frog,Pacific Coast,49.26,-83.52,0.314,2021-04-02
OBS-00458,bird,Prairie,41.46,-81.75999999999999,0.248,2021-04-03
OBS-00459,fish,Atlantic,47.94,-87.56,0.74,2021-04-04
OBS-00460,salamander,Great Lakes,45.6,-94.2,0.87,2021-04-05
OBS-00461,frog,Pacific Coast,42.14,-87.52,0.602,2021-04-06
OBS-00462,bird,Prairie,46.5,-88.68,0.802,2021-04-07
OBS-00463,fish,Atlantic,42.48,-81.6,0.15,2021-04-08
OBS-00464,salamander,Great Lakes,41.42,-83.36,0.274,2021-04-09
OBS-00465,frog,Pacific Coast,44.16,-94.88,0.196,2021-04-10
OBS-00466,bird,Prairie,43.6,-91.84,0.782,2021-04-11
OBS-00467,fish,Atlantic,40.08,-93.08,0.996,2021-04-12
OBS-00468,salamander,Great Lakes,43.68,-91.64,0.69,2021-04-13
OBS-00469,frog,Pacific Coast,47.08,-93.16,0.658,2021-04-14
OBS-00470,bird,Prairie,44.76,-92.72,0.822,2021-04-15
OBS-00471,fish,Atlantic,41.44,-97.56,0.612,2021-04-16
OBS-00472,salamander,Great Lakes,44.72,-91.8,0.294,2021-04-17
OBS-00473,frog,Pacific Coast,48.019999999999996,-88.52,0.088,2021-04-18
OBS-00474,bird,Prairie,40.06,-99.24,0.01,2021-04-19
OBS-00475,fish,Atlantic,49.480000000000004,-90.08,0.586,2021-04-20
OBS-00476,salamander,Great Lakes,48.68,-99.72,0.684,2021-04-21
OBS-00477,frog,Pacific Coast,49.18,-86.4,0.994,2021-04-22
OBS-00478,bird,Prairie,49.14,-90.12,0.472,2021-04-23
OBS-00479,fish,Atlantic,48.58,-90.76,0.098,2021-04-24
OBS-00480,salamander,Great Lakes,45.94,-80.48,0.648,2021-04-25
OBS-00481,frog,Pacific Coast,47.72,-85.88,0.526,2021-04-26
OBS-00482,bird,Prairie,42.88,-82.24,0.522,2021-04-27
OBS-00483,fish,Atlantic,44.46,-87.0,0.26,2021-04-28
OBS-00484,salamander,Great Lakes,47.58,-99.56,0.964,2021-04-29
OBS-00485,frog,Pacific Coast,43.16,-88.04,0.084,2021-04-30
OBS-00486,bird,Prairie,46.82,-99.2,0.972,2021-05-01
OBS-00487,fish,Atlantic,43.38,-86.12,0.034,2021-05-02
OBS-00488,salamander,Great Lakes,46.58,-81.08,0.216,2021-05-03
OBS-00489,frog,Pacific Coast,45.06,-82.88,0.122,2021-05-04
OBS-00490,bird,Prairie,49.6,-96.16,0.49,2021-05-05
OBS-00491,fish,Atlantic,42.84,-96.08,0.444,2021-05-06
OBS-00492,salamander,Great Lakes,45.42,-87.84,0.79,2021-05-07
OBS-00493,frog,Pacific Coast,43.3,-99.16,0.292,2021-05-08
OBS-00494,bird,Prairie,44.32,-80.76,0.89,2021-05-09
OBS-00495,fish,Atlantic,48.32,-88.8,0.176,2021-05-10
OBS-00496,salamander,Great Lakes,45.54,-88.92,0.226,2021-05-11
OBS-00497,frog,Pacific Coast,48.6,-92.48,0.334,2021-05-12
OBS-00498,bird,Prairie,46.92,-84.48,0.09,2021-05-13
OBS-00499,fish,Atlantic,41.4,-81.88,0.43,2021-05-14
